Source,Episode,Vocabulary,Type,Description,Example
Friends,s1 ep4,dent,noun,"a small hollow mark in the surface of something, caused by pressure or by being hit",The public image has been dented by the environmental crisis of the past 20 years
Friends,s1 ep4,crust,noun,a hard outer covering of something,"Could you cut the crusts off the sandwiches, please?"
Friends,s1 ep4,bonehead,adjective,very stupid,That was some bonehead behaviour
Friends,s1 ep4,The Mediterranean Sea,a place,"the sea surrounded by southern Europe, North Africa, and Western Asia",none
Friends,s1 ep4,stunning,adjective,extremely beautiful or attractive,a stunning dress; a stunning view over the bay of Saint Tropez
Friends,s1 ep4,glow,verb,to produce a continuous light and sometimes heat,A nightlight glowed dimly in the corner of the children's bedroom
Friends,s1 ep4,goose,noun,"a large water bird similar to a duck but larger, or the meat from this bird",none
Friends,s1 ep4,admit,verb,"to agree that something is true, especially unwillingly",He admitted his guilt/mistake
Friends,s2 ep17,slipper,noun,"a type of soft, comfortable shoe for wearing inside the house",He put on his bathrobe and slippers
Friends,s2 ep17,bathrobe,noun,"a loose piece of clothing like a coat, usually made of thick towelling material, worn informally inside the house, especially before or after a bath","He removes his bathrobe, headphones and sunglasses, and walks away happily"
Friends,s2 ep17,panther,noun,a black leopard (=large wild cat),"These are often described as pumas, leopards or panthers"
Friends,s2 ep17,genuine,adjective,"If something is genuine, it is real and exactly what it appears to be","If it is a genuine Michelangelo drawing, it will sell for millions"
Friends,s2 ep17,muppet,noun,a stupid person,none
Friends,s2 ep17,hood,noun,part of a piece of clothing that can be pulled up to cover the top and back of the head,The prisoners had been tortured and made to wear hoods
Friends,s2 ep17 tcb 5:30,gibber,verb,"to speak quickly in a way that cannot be understood, usually when you are very frightened or confused","Stop gibbering, man, and tell us what you saw"
REWRT,Harry's Play List ep1,anecdote,noun,"a short, interesting or funny story about a real person or event",amusing anecdotes about his brief career as an actor
REWRT,Harry's Play List ep1,ado,noun,without delaying; immediately,We set to work without further ado.
REWRT,Harry's Play List ep1,at the expense of other people,phrase,In a way that causes harm or disadvantage to others.,Malls flourished at the expense of small stores downtown.
